VV_1,VV_2,VV_3,VV_4,VV_5,VV_6,VV_7,VV_8,VV_9,VV_10,VV_11,VV_12,VV_13,VV_14,VV_15,VV_16,VH_17,VH_18,VH_19,VH_20,VH_21,VH_22,VH_23,VH_24,VH_25,VH_26,VH_27,VH_28,VH_29,VH_30,VH_31,VH_32,VHVV_33,VHVV_34,VHVV_35,VHVV_36,VHVV_37,VHVV_38,VHVV_39,VHVV_40,VHVV_41,VHVV_42,VHVV_43,VHVV_44,VHVV_45,VHVV_46,VHVV_47,VHVV_48,label
-16.336687,-13.381285,-11.024928,-13.418742,-8.338593,-18.042091,-21.987265,-11.0490265,-19.042606,-8.867074,-10.42126,-7.119311,-9.797444,-8.41463,-7.3155913,-10.399227,-18.685888,-16.165085,-15.73979,-19.253857,-18.304977,-29.765953,-20.017923,-20.707014,-28.564594,-18.503393,-17.899147,-15.658276,-16.945045,-16.428194,-14.044875,-15.472133,1.143799,1.2080368,1.4276546,1.4348481,2.1952116,1.6498063,0.91043264,1.874103,1.500036,2.0867531,1.7175608,2.1994088,1.7295372,1.9523371,1.919855,1.4878156,0
-16.336687,-13.381285,-11.024928,-13.418742,-8.338593,-18.042091,-21.987265,-11.0490265,-19.042606,-8.867074,-10.42126,-7.119311,-9.797444,-8.41463,-7.3155913,-10.399227,-18.685888,-16.165085,-15.73979,-19.253857,-18.304977,-29.765953,-20.017923,-20.707014,-28.564594,-18.503393,-17.899147,-15.658276,-16.945045,-16.428194,-14.044875,-15.472133,1.143799,1.2080368,1.4276546,1.4348481,2.1952116,1.6498063,0.91043264,1.874103,1.500036,2.0867531,1.7175608,2.1994088,1.7295372,1.9523371,1.919855,1.4878156,0
-7.210703,-8.149663,-13.342814,-12.660532,-9.604464,-7.375636,-8.667596,-7.644661,-8.359638,-10.632514,-9.27693,-8.645074,-10.826567,-10.754576,-9.864431,-8.852622,-14.722233,-20.458605,-13.306323,-14.916966,-15.571192,-10.490069,-15.751747,-16.954964,-14.77467,-16.71552,-14.439223,-15.716103,-16.850513,-16.197285,-16.003586,-19.074558,2.0417194,2.510362,0.99726516,1.1782259,1.6212453,1.4222597,1.8173144,2.217883,1.7673815,1.5721138,1.5564657,1.8179258,1.5564041,1.5060831,1.6223527,2.1546788,0
-9.042261,-11.31945,-7.247839,-11.202463,-6.9651384,-6.2581215,-4.33035,-10.597086,-7.8870406,-5.863822,-9.18829,-7.3901615,-8.700277,-8.8217535,-6.7188096,-8.0004225,-16.546179,-14.84521,-14.35724,-19.545776,-15.822443,-11.950159,-20.471493,-13.305987,-19.136606,-16.681149,-12.77459,-15.441757,-13.933441,-11.625823,-12.133399,-16.436703,1.829872,1.3114779,1.9808995,1.7447749,2.2716625,1.9095441,4.7274456,1.255627,2.4263353,2.8447568,1.390312,2.0895019,1.601494,1.3178585,1.8058853,2.0544794,0
-9.906696,-7.632043,-6.1500525,-8.326143,-6.754141,-8.699075,-7.874157,-8.1673765,-5.859456,-8.756466,-8.084998,-6.9685187,-6.2486453,-7.0323753,-8.468549,-10.163835,-15.923469,-16.844805,-13.197174,-16.381601,-11.478276,-13.090258,-14.609609,-15.85985,-14.9585285,-14.067178,-14.920554,-13.682083,-18.011728,-9.191288,-13.682274,-17.5526,1.6073439,2.207116,2.1458635,1.9674897,1.6994429,1.5047873,1.855387,1.9418536,2.552887,1.6064903,1.8454617,1.9634134,2.8825014,1.3069962,1.6156574,1.7269665,0
-11.323848,-10.6908865,-8.0296335,-9.286732,-9.327346,-14.694379,-10.977629,-8.641863,-11.817308,-10.546398,-10.855958,-11.797176,-9.685743,-9.9904585,-10.921974,-9.041891,-18.82464,-20.384846,-18.824003,-20.05074,-18.076168,-22.087965,-23.444113,-24.86734,-17.621967,-19.630384,-16.62959,-14.355065,-19.08921,-13.486396,-18.98916,-16.420408,1.6623892,1.9067496,2.3443167,2.1590738,1.9379755,1.5031574,2.1356263,2.877544,1.4911999,1.8613355,1.53184,1.2168221,1.9708564,1.3499277,1.7386197,1.8160368,0
-3.82915,-4.260081,-5.338602,-7.42433,-4.7414327,-3.306273,-5.670345,-6.592982,-6.9528894,-6.148832,-4.451622,-6.6135874,-5.476067,-6.2903237,-4.567475,-5.1062145,-13.868799,-17.412825,-15.868468,-13.175591,-14.170389,-11.848841,-13.500095,-11.693923,-14.605862,-14.499692,-17.145607,-10.909739,-12.482061,-14.437066,-16.338133,-13.636714,3.6219003,4.08744,2.9724014,1.7746506,2.9886303,3.5837455,2.3808243,1.7736926,2.1006894,2.3581214,3.8515418,1.6495947,2.2793844,2.2951229,3.5770602,2.6706111,0
-8.269164,-11.416644,-7.672816,-7.6115975,-11.884407,-8.419704,-9.348333,-8.30415,-3.9685216,-10.513943,-4.7945504,-8.185786,-8.94469,-5.047127,-8.925838,-7.9002633,-13.617309,-15.588425,-16.995832,-14.544792,-18.427324,-16.36139,-17.244205,-20.268547,-14.167613,-14.442177,-15.59189,-16.204535,-17.561213,-13.843877,-15.820699,-14.1324005,1.6467576,1.3654121,2.215071,1.9108723,1.5505464,1.9432262,1.8446289,2.4407732,3.5699978,1.3736215,3.2520027,1.9795943,1.9633114,2.7429225,1.7724607,1.7888517,0
-13.571921,-7.6731534,-10.729021,-13.0998125,-7.0676556,-14.207382,-8.690829,-7.7548704,-9.825067,-10.908401,-7.035199,-12.394353,-13.4424515,-9.360131,-7.9656663,-9.390626,-17.816452,-18.494358,-13.708441,-17.754997,-11.216067,-22.577356,-23.336103,-18.010134,-18.312891,-17.397768,-17.000444,-13.753607,-16.52772,-17.162937,-12.227419,-16.489855,1.3127435,2.4102683,1.2776972,1.3553627,1.5869572,1.5891285,2.685141,2.322429,1.8638947,1.5948964,2.4164839,1.1096672,1.2295167,1.8336215,1.5350152,1.755991,0
-8.102622,-9.812567,-10.10291,-8.933255,-10.354656,-13.126338,-8.082099,-7.4644237,-7.860691,-9.184097,-6.1746974,-7.1793413,-10.162699,-7.7529783,-9.174078,-8.984202,-17.124454,-17.893679,-16.843441,-15.002268,-14.563431,-15.918507,-20.538054,-14.63094,-17.537344,-15.9484,-13.333512,-13.664281,-14.622995,-17.10189,-17.495098,-16.029812,2.113446,1.8235471,1.6671871,1.679373,1.4064621,1.2127149,2.5411782,1.9600897,2.231018,1.7365234,2.159379,1.9032778,1.438889,2.205848,1.9070143,1.784222,0
