B_1,B_6,B_11,B_16,B_21,B_26,B_31,B_2,B_7,B_12,B_17,B_22,B_27,B_32,B_3,B_8,B_13,B_18,B_23,B_28,B_33,B_4,B_9,B_14,B_19,B_24,B_29,B_34,B_5,B_10,B_15,B_20,B_25,B_30,B_35,label
320,585,525,493,487,396,349,601,972,852,914,837,717,751,502,1279,905,945,747,651,786,3289,2759,1970,2288,2908,3166,3152,0.7351622,0.36651808,0.3704348,0.41540366,0.5912449,0.6588944,0.6008126,0
320,585,525,493,487,396,349,601,972,852,914,837,717,751,502,1279,905,945,747,651,786,3289,2759,1970,2288,2908,3166,3152,0.7351622,0.36651808,0.3704348,0.41540366,0.5912449,0.6588944,0.6008126,0
456,425,469,428,579,502,369,831,814,823,759,934,857,751,742,716,807,776,891,879,684,3318,3403,3025,2794,2878,2791,2931,0.63448274,0.6523428,0.57881004,0.56526613,0.5271955,0.52098095,0.6215768,0
495,401,403,448,441,385,341,871,722,782,808,803,716,643,861,725,669,827,812,674,553,3336,3105,3664,2915,2623,2690,2883,0.58970696,0.6214099,0.691207,0.5579904,0.5272198,0.59928656,0.67811406,0
583,468,564,422,446,448,641,1026,863,933,799,847,820,1080,1025,824,869,766,785,803,1369,3357,3219,3471,3036,3392,3357,3302,0.5321771,0.5923819,0.59953916,0.5970542,0.62413216,0.6139423,0.41383,0
418,376,409,442,480,394,313,807,730,723,815,818,716,625,703,675,628,776,789,626,517,3420,3235,3568,2961,2766,2549,2571,0.65898615,0.65473145,0.7006673,0.5846936,0.55611813,0.6056693,0.6651554,0
705,722,738,599,765,638,682,1278,1293,1209,1023,1231,1187,1176,1644,1715,1683,1296,1510,1468,1486,3182,3112,3256,2826,3169,3062,3249,0.31869042,0.28941372,0.31848553,0.37117904,0.35456294,0.35187638,0.37233368,0
331,403,479,485,510,428,623,671,820,786,842,839,842,973,570,706,1015,798,777,688,1187,3602,3972,1856,2737,3366,3486,2653,0.7267498,0.6981616,0.2929293,0.54851484,0.62490946,0.6703402,0.38177082,0
377,414,471,497,533,413,411,698,797,820,881,946,753,753,674,768,890,870,875,684,719,3199,2857,2658,2532,2928,2580,2766,0.6519494,0.5762759,0.4983089,0.48853615,0.53983694,0.5808824,0.58737445,0
457,459,483,493,623,472,463,859,877,899,877,1045,903,836,966,970,953,924,1114,966,902,2769,3024,3344,2696,2904,2648,2766,0.48273093,0.5142714,0.55643475,0.48950276,0.44549528,0.4654123,0.50817883,0
